job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown,age,balance,day,duration,campaign,pdays,previous,INDEX,TARGET
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.13333333333333333,0.711781206171108,0.08333333333333333,0.7192982456140351,-0.5,0.0,0.0,1244,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.9333333333333333,-0.29312762973352036,-1.0,0.5745614035087719,-0.5,0.0,0.0,3359,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9333333333333333,0.5792426367461431,-0.08333333333333333,-0.04824561403508772,0.5,0.0,0.0,2983,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.5333333333333333,-0.3211781206171108,-0.75,-0.3991228070175439,0.0,0.0,0.0,4279,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.26666666666666666,2.1577840112201963,-0.9166666666666666,-0.07017543859649122,0.0,0.0,0.0,4023,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2,7.3316970546984574,-1.0,-0.4868421052631579,0.5,0.0,0.0,4174,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,3.7363253856942498,-1.25,1.4912280701754386,0.0,0.0,0.0,2285,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8,-0.28190743338008417,1.0833333333333333,-0.07456140350877193,-0.5,0.0,0.0,158,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.8666666666666667,0.16900420757363255,-0.3333333333333333,0.37719298245614036,-0.5,0.0,0.0,3306,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2,-0.6016830294530154,1.1666666666666667,-0.14473684210526316,1.5,0.0,0.0,1874,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6,-0.24544179523141654,-0.9166666666666666,1.25,2.5,427.0,3.0,2332,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,-0.7419354838709677,0.8333333333333334,-0.18859649122807018,-0.5,0.0,0.0,467,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,2.2580645161290325,1.0,4.495614035087719,-0.5,0.0,0.0,1592,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,0.20967741935483872,0.5833333333333334,-0.2807017543859649,0.0,0.0,0.0,1347,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.3333333333333333,3.4137447405329593,-1.0833333333333333,-0.31140350877192985,2.0,468.0,5.0,3439,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.2,-0.2208976157082749,-0.3333333333333333,0.05701754385964912,0.5,0.0,0.0,2703,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.1333333333333333,0.0182328190743338,-0.9166666666666666,-0.38596491228070173,-0.5,0.0,0.0,341,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6666666666666666,2.0371669004207575,0.4166666666666667,-0.2850877192982456,0.5,0.0,0.0,3899,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,-0.1002805049088359,-0.4166666666666667,1.2543859649122806,0.5,0.0,0.0,1712,0
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.6666666666666666,-0.033660589060308554,1.1666666666666667,1.0,0.5,0.0,0.0,2169,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5333333333333333,2.769985974754558,-0.5,2.719298245614035,-0.5,191.0,1.0,3889,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.5333333333333333,0.5988779803646563,1.0,0.14035087719298245,1.5,0.0,0.0,1587,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.26666666666666666,-0.31136044880785413,0.5833333333333334,-0.5701754385964912,1.0,0.0,0.0,1234,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.3333333333333333,-0.27419354838709675,-0.9166666666666666,-0.7192982456140351,-0.5,0.0,0.0,3103,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6,-0.0091164095371669,-1.1666666666666667,0.11842105263157894,-0.5,250.0,2.0,4428,0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0666666666666667,-0.17391304347826086,-0.16666666666666666,1.1842105263157894,5.5,0.0,0.0,1563,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06666666666666667,-0.19845722300140253,0.16666666666666666,-0.6228070175438597,1.0,0.0,0.0,1367,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8666666666666667,2.1753155680224405,-0.6666666666666666,-0.42105263157894735,-0.5,0.0,0.0,2125,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2,-0.15568022440392706,-0.9166666666666666,-0.043859649122807015,2.5,0.0,0.0,1172,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.1333333333333333,-0.6220196353436185,-0.5833333333333334,0.0,0.0,0.0,0.0,1794,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,1.312061711079944,0.16666666666666666,-0.14912280701754385,4.0,0.0,0.0,3839,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4,-0.3169705469845722,1.0,-0.4473684210526316,5.0,0.0,0.0,2141,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-0.13333333333333333,-0.3169705469845722,-0.8333333333333334,0.17982456140350878,-0.5,364.0,3.0,1833,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,-0.16900420757363255,0.25,0.06578947368421052,0.0,0.0,0.0,550,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2,-0.32187938288920054,1.25,-0.631578947368421,2.0,0.0,0.0,2508,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.06666666666666667,-0.3134642356241234,0.16666666666666666,0.14912280701754385,0.5,0.0,0.0,1006,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7333333333333333,-0.3141654978962132,0.08333333333333333,0.16666666666666666,-0.5,97.0,2.0,353,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.26666666666666666,-0.6430575035063114,0.5833333333333334,-0.08333333333333333,-0.5,0.0,0.0,175,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.26666666666666666,-0.10098176718092566,0.5,-0.47368421052631576,0.0,0.0,0.0,155,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6666666666666666,-0.10308555399719495,-0.5,2.8464912280701755,4.0,0.0,0.0,218,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6,-0.19214586255259467,0.08333333333333333,0.5921052631578947,1.0,0.0,0.0,3435,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.2,-0.4074333800841515,1.0833333333333333,-0.2807017543859649,0.5,0.0,0.0,1267,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.06666666666666667,0.41304347826086957,-0.3333333333333333,-0.49122807017543857,-0.5,0.0,0.0,1578,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.26666666666666666,-0.3169705469845722,-0.5833333333333334,-0.6271929824561403,-0.5,0.0,0.0,2788,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.1333333333333333,2.11781206171108,0.3333333333333333,0.6447368421052632,-0.5,184.0,3.0,1928,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.2,0.623422159887798,-0.6666666666666666,0.6754385964912281,0.0,0.0,0.0,4177,0
